Komentar_Asli,Komentar_Labeling,Komentar_Bersih,Sentimen,Confidence_Score,Panjang_Karakter,Jumlah_Kata
"buset dengan harga segitu banyak banget hp yg lebih worth it. 
contoh Poco X8 Pro Max - Antutu 3jt. klo cari Camera bisa ambil Xiaomi 15T atau 15T Pro
jadi samsung ini cuman jualan namanya aja atw hp flagship, mereka ga jualan hp mid range flagship killer","buset dengan harga segitu banyak banget hp yg lebih worth it. contoh Poco X8 Pro Max - Antutu 3jt. klo cari Camera bisa ambil Xiaomi 15T atau 15T Pro jadi samsung ini cuman jualan namanya aja atw hp flagship, mereka ga jualan hp mid range flagship killer",buset harga segitu banyak banget handphone lebih bagus contoh poco x8 pro max antutu 3jt klo cari camera ambil xiaomi 15t 15t pro jadi samsung cuman jual nama atw handphone flagship tidak jual handphone mid range flagship killer,Positif,57.65,255,47
Yang nonton dengan hp samsung a55 cung...,Yang nonton dengan hp samsung a55 cung...,nonton handphone samsung a55 cung,Netral,97.23,41,7
"apa jangan jangan A57 produk decoy yah wkwkw biar S25 FE Keliatan makin worth it, atau emang udah ada pasarnya sendiri si A57 ini","apa jangan jangan A57 produk decoy yah wkwkw biar S25 FE Keliatan makin worth it, atau emang udah ada pasarnya sendiri si A57 ini",apa jangan jangan a57 produk decoy yah wkwkw s25 fe liat makin bagus emang pasar sendiri si a57,Positif,52.09,129,24
"Masih stay di s21 fe, klo ikutin zaman ga ada abisnya😅","Masih stay di s21 fe, klo ikutin zaman ga ada abisnya😅",masih stay s21 fe klo ikutin zaman tidak abis,Negatif,62.96,54,11
"bang, review galaxy a37 trs bikin juga video a36 vs a37 lebih worth mana?","bang, review galaxy a37 trs bikin juga video a36 vs a37 lebih worth mana?",review galaxy a37 trs bikin juga video a36 vs a37 lebih worth mana,Negatif,45.37,73,14
a55 atau a56 masih worth it cuman kalo mau beli a57 lebih baik s25fe ga sih,a55 atau a56 masih worth it cuman kalo mau beli a57 lebih baik s25fe ga sih,a55 a56 masih bagus cuman mau beli a57 lebih baik s25fe tidak sih,Negatif,81.45,75,16
"A57 ❌️
A56+ ✅️",A57 ❌️ A56+ ✅️,a57 a56,Netral,75.25,14,4
Masih nonton pake a55,Masih nonton pake a55,masih nonton pake a55,Netral,92.88,21,4
"tetap bertahan pakai A55 aj 😮 nungguin A57 kira ada menyimpnan 512 meski gk ada memori, trnyta mmng samsung menengah mentok 256, zaman skrng penyimpnan penting bngt 😅","tetap bertahan pakai A55 aj 😮 nungguin A57 kira ada menyimpnan 512 meski gk ada memori, trnyta mmng samsung menengah mentok 256, zaman skrng penyimpnan penting bngt 😅",tetap tahan pakai a55 aj nungguin a57 kira menyimpnan 512 meski tidak memori trnyta mmng samsung tengah mentok 256 zaman skrng penyimpnan penting bngt,Negatif,76.76,166,28
Masih bertahan di galaxy A15 4G 😅,Masih bertahan di galaxy A15 4G 😅,masih tahan galaxy a15 4g,Netral,94.75,33,7
"3:44 dicatat di kertas kecil, saking banyaknya yang di upgrade 😊","3:44 dicatat di kertas kecil, saking banyaknya yang di upgrade 😊",44 catat kertas kecil saking banyak upgrade,Netral,71.48,64,11
Dri 2021. Pake A22 4G masih aman aja.,Dri 2021. Pake A22 4G masih aman aja.,dri 2021 pake a22 4g masih aman,Negatif,94.74,37,8
A50 saya beli tahun 2019 sampai sekrang tetap gasss awet hanya ganti batrai dan casing karet luar,A50 saya beli tahun 2019 sampai sekrang tetap gasss awet hanya ganti batrai dan casing karet luar,a50 beli tahun 2019 sampai sekrang tetap gasss awet hanya ganti batrai casing karet luar,Positif,44.82,97,17
"aku pake A51 dari 2020, sampai sekarang awet. sebelumnya pake A3 2016. pokoknya awet banget A-series ini buat pegawai kantoran ky aku, tapi tahun ini aku pengen update lebih jauh ke samsung z flip","aku pake A51 dari 2020, sampai sekarang awet. sebelumnya pake A3 2016. pokoknya awet banget A-series ini buat pegawai kantoran ky aku, tapi tahun ini aku pengen update lebih jauh ke samsung z flip",aku pake a51 2020 sampai sekarang awet belum pake a3 2016 pokok awet banget series buat pegawai kantor ky aku tahun aku ken update lebih jauh samsung flip,Positif,98.13,196,34
david pun gabisa nolong wkwk,david pun gabisa nolong wkwk,david pun gabisa nolong wkwk,Negatif,98.47,28,5
Saya menyesal sih beli a55,Saya menyesal sih beli a55,sesal sih beli a55,Negatif,99.93,26,5
jelek banget,jelek banget,jelek banget,Negatif,99.9,12,2
Nonton pake samsung a52 hadir  tahan air tapi sekali nyemplung bakflip langsung copot hadehh,Nonton pake samsung a52 hadir tahan air tapi sekali nyemplung bakflip langsung copot hadehh,nonton pake samsung a52 hadir tahan air sekali nyemplung bakflip langsung copot hadehh,Negatif,95.1,92,14
"Niatnya mao beli ini pas blm kluar,,eh pas udh keluar malah kaya gini ga ada yg spesial","Niatnya mao beli ini pas blm kluar,,eh pas udh keluar malah kaya gini ga ada yg spesial",niat mao beli pas blm kluar eh pas keluar malah kaya gin tidak spesial,Negatif,99.8,87,17
Sinyalllllll gmn,Sinyalllllll gmn,sinyalllllll gmn,Negatif,98.97,16,2
Ga ada alasan upgrade dari 56 ke 57 tahun ini 😅,Ga ada alasan upgrade dari 56 ke 57 tahun ini 😅,tidak alas upgrade 56 57 tahun,Negatif,98.33,47,11
Lebih ke A56s kyk nya wkwkwkw,Lebih ke A56s kyk nya wkwkwkw,lebih a56s kyk wkwkwkw,Negatif,80.37,29,6
Aku udah nungguin hp ini tapi aku malah agak kecewa 😢,Aku udah nungguin hp ini tapi aku malah agak kecewa 😢,aku nungguin handphone aku malah agak kecewa,Negatif,99.85,53,11
Gatel liatnya kalo bezel masih belum simetris,Gatel liatnya kalo bezel masih belum simetris,gatel liat bezel masih belum simetris,Negatif,98.45,45,7
Saya ttep nyaman di S10 plus sih masi wort it bngt buat pemakaian harian 😭,Saya ttep nyaman di S10 plus sih masi wort it bngt buat pemakaian harian 😭,ttep nyaman s10 plus sih mas wort it bngt buat pakai hari,Positif,97.89,74,15
hal yg gua pengen dr a57 adalah kemampuan rekam video 4k/60fps yang sangat membantu gua dalam buat konten. tapi kl dilihat2 mending beli iphone 11 soalnya hardware video milik samsung masih bagusan apple wkwkwk,hal yg gua pengen dr a57 adalah kemampuan rekam video 4k/60fps yang sangat membantu gua dalam buat konten. tapi kl dilihat2 mending beli iphone 11 soalnya hardware video milik samsung masih bagusan apple wkwkwk,hal gua ken a57 mampu rekam video 4k 60fps sangat bantu gua dalam buat konten kl dilihat2 mending beli iphone 11 soal hardware video milik samsung masih bagus apple wkwkwk,Positif,79.68,210,34
"Ini mah 70% harga modal khusus tu one ui taek kucheng,
30% modal jeroan🗿","Ini mah 70% harga modal khusus tu one ui taek kucheng, 30% modal jeroan🗿",mah 70 harga modal khusus tu one ui taek kucheng 30 modal jeroan,Positif,69.89,72,14
"Spek samsung upgrade trusss
Gaji kita gak upgrade
Fyi : hp yg saya pake samsung galaxy A10S",Spek samsung upgrade trusss Gaji kita gak upgrade Fyi : hp yg saya pake samsung galaxy A10S,spesifikasi samsung upgrade trusss gaji tidak upgrade fyi handphone pake samsung galaxy a10s,Netral,93.43,91,17
Harga overprice dengan spek segitu naggung masih banyak brand lain yg sebanding,Harga overprice dengan spek segitu naggung masih banyak brand lain yg sebanding,harga overprice spesifikasi segitu naggung masih banyak brand lain banding,Positif,93.92,79,12
Mending iphone 14 pro menang di segala hal,Mending iphone 14 pro menang di segala hal,mending iphone 14 pro menang segala hal,Netral,90.87,42,8
"Masih nyaman pake A50s,Hp udah 6 tahun Alhamdulillah masih normal,cuma batre udah lebih boros aja. Kualitas Samsung emang Ok.","Masih nyaman pake A50s,Hp udah 6 tahun Alhamdulillah masih normal,cuma batre udah lebih boros aja. Kualitas Samsung emang Ok.",masih nyaman pake a50s handphone tahun alhamdulillah masih normal cuma batre lebih boros kualitas samsung emang ok,Positif,98.98,125,19
Gue nonton video ini pake samsung A55,Gue nonton video ini pake samsung A55,gue nonton video pake samsung a55,Netral,95.69,37,7
"Nonton A57 pake A52, dengerin review nya kayaknya mending S25FE aja deh, beda tipis harganya 😅","Nonton A57 pake A52, dengerin review nya kayaknya mending S25FE aja deh, beda tipis harganya 😅",nonton a57 pake a52 dengerin review kayak mending s25fe deh beda tipis harga,Negatif,95.55,94,16
"Jangan terlalu sesumbar kalian netizen, bro david kadang bisa nempatin hp ini jd rekomended kalo harga dah turun","Jangan terlalu sesumbar kalian netizen, bro david kadang bisa nempatin hp ini jd rekomended kalo harga dah turun",jangan terlalu sesumbar kalian netizen bro david kadang nempatin handphone jd rekomended harga dah turun,Positif,93.26,112,18
Mas da di jual g bekas y,Mas da di jual g bekas y,mas da jual bekas,Netral,99.26,24,7
buset harganya mahal banget tp spesifikasinya cuman segitu yg di upgrade. mending beli hp android lain lah. blm tentu jg layarnya bebas dr green screen atau green line. so skip beli hp ini.,buset harganya mahal banget tp spesifikasinya cuman segitu yg di upgrade. mending beli hp android lain lah. blm tentu jg layarnya bebas dr green screen atau green line. so skip beli hp ini.,buset harga mahal banget spesifikasi cuman segitu upgrade mending beli handphone android lain lah blm tentu juga layar bebas green screen green line so skip beli handphone,Negatif,99.02,189,33
masih setia nonton pakai A52s,masih setia nonton pakai A52s,masih setia nonton pakai a52s,Positif,96.67,29,5
Mahal buat gua😂,Mahal buat gua😂,mahal buat gua,Negatif,99.78,15,3
Kayakanya bakal jadi video review samsung seri A paling sedikit view nya,Kayakanya bakal jadi video review samsung seri A paling sedikit view nya,kayakanya bakal jadi video review samsung seri paling sedikit view,Netral,80.15,72,12
Sakit hati gue dapatnya A17 bukannya A36. Emak bilang itu aja cukup😢😭,Sakit hati gue dapatnya A17 bukannya A36. Emak bilang itu aja cukup😢😭,sakit hati gue dapat a17 bukan a36 emak bilang cukup,Negatif,99.87,69,12
Nonton video ini pake Samsung A52s 5G 🥲,Nonton video ini pake Samsung A52s 5G 🥲,nonton video pake samsung a52s 5g,Netral,98.41,39,8
Motorola gak di sebut nih😢😅,Motorola gak di sebut nih😢😅,motorola tidak sebut nih,Negatif,99.65,27,5
Nonton masih sama pake redmi note 8 Ginkgo 🎉🎉,Nonton masih sama pake redmi note 8 Ginkgo 🎉🎉,nonton masih sama pake redmi note ginkgo,Netral,91.89,45,9
Cuman ngiler liatnya,Cuman ngiler liatnya,cuman ngiler liat,Negatif,78.99,20,3
Masih nyaman pakai samsung a55 😁,Masih nyaman pakai samsung a55 😁,masih nyaman pakai samsung a55,Positif,93.11,32,6
"harusnya A57 keluar dengan harga mepet-mepet S25 FE, harusnya S25FE harga dinaikin nggk sih ?
kecuali klo mau keluar S26 FE, dan S25FE stop diproduksi","harusnya A57 keluar dengan harga mepet-mepet S25 FE, harusnya S25FE harga dinaikin nggk sih ? kecuali klo mau keluar S26 FE, dan S25FE stop diproduksi",harus a57 keluar harga mepet mepet s25 fe harus s25fe harga dinaikin nggk sih kecuali klo mau keluar s26 fe s25fe stop produksi,Negatif,86.35,150,25
"Kelemahan terburuk samsung itu di LCD nya gampang banget lightsaber 😂 di hampir semua seriesnya rata"" begitu.. 
Udah gitu dia gak cocok buat gamers yang bisa berjam jam di depan layar, ya itu ditakutkan layarnya yang tumbang. Beda ama iqoo, poco, xiaomi, redmagic yang emang diciptain buat gamers.
Soal kamera yaa hasilnya termasuk bagus, tapi kalo low light kalah telak njirr bahkan series S ultra aja gak ngelawan njir kalo dibanding iphone, huawei, atau vivo X series. 
Yaa intinya samsung mah cuman hape standard aja sih fiturnya cukup semua, gak gaming"" bgt, gak camera"" bgt, dan cuman sekedar hp dengan brand besar 😂","Kelemahan terburuk samsung itu di LCD nya gampang banget lightsaber 😂 di hampir semua seriesnya rata"" begitu.. Udah gitu dia gak cocok buat gamers yang bisa berjam jam di depan layar, ya itu ditakutkan layarnya yang tumbang. Beda ama iqoo, poco, xiaomi, redmagic yang emang diciptain buat gamers. Soal kamera yaa hasilnya termasuk bagus, tapi kalo low light kalah telak njirr bahkan series S ultra aja gak ngelawan njir kalo dibanding iphone, huawei, atau vivo X series. Yaa intinya samsung mah cuman hape standard aja sih fiturnya cukup semua, gak gaming"" bgt, gak camera"" bgt, dan cuman sekedar hp dengan brand besar 😂",lemah buruk samsung lcd gampang banget lightsaber hampir semua seriesnya rata begitu gitu dia tidak cocok buat gamers jam jam depan layar takut layar tumbang beda ama iqoo poco xiaomi redmagic emang diciptain buat gamers soal kamera yaa hasil masuk bagus low light kalah telak njirr bahkan series ultra tidak ngelawan njir banding iphone huawei vivo series yaa inti samsung mah cuman hape standard sih fiturnya cukup semua tidak gaming banget tidak camera banget cuman dar handphone brand besar,Negatif,95.02,622,103
Pake samsung a70 hadirr,Pake samsung a70 hadirr,pake samsung a70 hadirr,Netral,98.16,23,4
"mak gw masi pake a54, katanya thn ini rencananya mau ganti a57. gw saranin s25 fe gamau, heran 😅","mak gw masi pake a54, katanya thn ini rencananya mau ganti a57. gw saranin s25 fe gamau, heran 😅",mak gw mas pake a54 kata thn rencana mau ganti a57 gw saranin s25 fe gamau heran,Negatif,99.14,96,19
Dengan harga segitu keputusan buat nyuruh suami beli S25 Fe adalah keputusan terbaik 😂,Dengan harga segitu keputusan buat nyuruh suami beli S25 Fe adalah keputusan terbaik 😂,harga segitu putus buat nyuruh suami beli s25 fe putus baik,Positif,96.49,86,14
upgrade fitur nya nyantai upgrade harga nya yg gak nyantai🎉,upgrade fitur nya nyantai upgrade harga nya yg gak nyantai🎉,upgrade fitur nyantai upgrade harga tidak nyantai,Negatif,99.34,59,10
"Menurut gua kelebihan samsung dari merk lain cuma upgrade OSnya lebih panjang aja, series samsung A sekarang upgrade OSnya bisa sampe 5 kali, jadi bisa dipake jangka panjang banget, dibanding merk lain yg cuma ngasih 2 dan paling banyak 3 kali upgrade OS","Menurut gua kelebihan samsung dari merk lain cuma upgrade OSnya lebih panjang aja, series samsung A sekarang upgrade OSnya bisa sampe 5 kali, jadi bisa dipake jangka panjang banget, dibanding merk lain yg cuma ngasih 2 dan paling banyak 3 kali upgrade OS",turut gua lebih samsung merk lain cuma upgrade osnya lebih panjang series samsung sekarang upgrade osnya sampe kali jadi dipake jangka panjang banget banding merk lain cuma ngasih paling banyak kali upgrade os,Positif,92.53,254,43
Nonton ini sambil minum kopi + kue + pake hp Samsung. Review yang ditunggu-tunggu tiba juga...,Nonton ini sambil minum kopi + kue + pake hp Samsung. Review yang ditunggu-tunggu tiba juga...,nonton sambil minum kopi kue pake handphone samsung review tunggu tunggu tiba juga,Positif,79.8,94,16
Org tl00I mna yg beli hp ini,Org tl00I mna yg beli hp ini,org tl00i mna beli handphone,Netral,96.52,28,7
"samsung "" nyantai aja sih pasti tetep laku koq kan kita nyaman ""","samsung "" nyantai aja sih pasti tetep laku koq kan kita nyaman """,samsung nyantai sih pasti tetep laku koq kan nyaman,Positif,51.74,64,13
User A51 memantau😂,User A51 memantau😂,user a51 pantau,Negatif,61.3,18,3
Parah kamera depan gak ada 1060p 60 fps. Kalah sama A52s gw 😢,Parah kamera depan gak ada 1060p 60 fps. Kalah sama A52s gw 😢,parah kamera depan tidak 1060p 60 fps kalah sama a52s gw,Negatif,99.89,61,13
kusus buat kaum pecinta samsung dan one ui,kusus buat kaum pecinta samsung dan one ui,sus buat kaum cinta samsung one ui,Netral,57.92,42,8
Redmi tetap pake nya,Redmi tetap pake nya,redmi tetap pake,Netral,97.39,20,4
Rivel nubia neo 5 gt,Rivel nubia neo 5 gt,rivel nubia neo gt,Netral,95.11,20,5
Betul sekali bang mending s25 Fe aja,Betul sekali bang mending s25 Fe aja,betul sekali mending s25 fe,Negatif,99.01,36,7
reques realme c71 dong mass,reques realme c71 dong mass,reques realme c71 dong mass,Netral,82.37,27,5
Nonton video ini  pakai A52S.😂,Nonton video ini pakai A52S.😂,nonton video pakai a52s,Negatif,51.04,30,5
"Dan saya masih pake A54 buat nonton, ini oke buat upgrade🤭","Dan saya masih pake A54 buat nonton, ini oke buat upgrade🤭",masih pake a54 buat nonton oke buat upgrade,Positif,93.46,58,11
HAHAHA UNTUNG DULU GA NUNGGUIN A57.. BELI A56 DI 5.2  TERUS UPGRADE S25 FE NAMBAH DIKIT😂,HAHAHA UNTUNG DULU GA NUNGGUIN A57.. BELI A56 DI 5.2 TERUS UPGRADE S25 FE NAMBAH DIKIT😂,hahaha untung dulu tidak nungguin a57 beli a56 terus upgrade s25 fe nambah dikit,Negatif,95.1,88,16
hapenya abis di review dikemanain bang ?,hapenya abis di review dikemanain bang ?,hapenya abis review dikemanain,Negatif,92.79,40,7
sama halnya poco yang jualan kamera UW 8 MP wkwk,sama halnya poco yang jualan kamera UW 8 MP wkwk,sama hal poco jual kamera uw mp wkwk,Netral,71.42,48,10
"bran gak beres,, harga mahal,, spek pelit","bran gak beres,, harga mahal,, spek pelit",bran tidak beres harga mahal spesifikasi pelit,Negatif,99.93,41,7
2:29 Hah ip57?,2:29 Hah ip57?,29 hah ip57,Negatif,97.45,14,3
Pakai A8 star nonton video ini full display,Pakai A8 star nonton video ini full display,pakai a8 star nonton video full display,Netral,97.58,43,8
Hp nya bagus bang,Hp nya bagus bang,handphone bagus,Positif,99.67,17,4
Akhirnya bang 😅,Akhirnya bang 😅,akhir,Negatif,93.07,15,3
"Semoga firasat soal panel nih hp yaitu pake sAMOLED+ gak beneran kejadian. Krn kalo diliat-liat, seri A pada umumnya pake sAMOLED biasa itu udah perfect, dan jarang ada kena masalah massal","Semoga firasat soal panel nih hp yaitu pake sAMOLED+ gak beneran kejadian. Krn kalo diliat-liat, seri A pada umumnya pake sAMOLED biasa itu udah perfect, dan jarang ada kena masalah massal",moga firasat soal panel nih handphone yaitu pake samoled tidak beneran jadi karena liat liat seri pada umum pake samoled biasa perfect jarang kena masalah massal,Positif,95.23,188,31
"A55 was good for it's time

2 tahun kemudian ada A57 kek gini
Emang tabiat Samsung setelah bikin HP oke, disusul HP-HP yang upgradenya mediocre","A55 was good for it's time 2 tahun kemudian ada A57 kek gini Emang tabiat Samsung setelah bikin HP oke, disusul HP-HP yang upgradenya mediocre",a55 was good for it time tahun kemudian a57 kek gin emang tabiat samsung telah bikin handphone oke susul handphone handphone upgradenya mediocre,Negatif,56.66,143,25
"bukan hp mendang mending, tapi punya tempat di hati konsumen","bukan hp mendang mending, tapi punya tempat di hati konsumen",bukan handphone dang mending punya tempat hati konsumen,Positif,79.86,60,10
user A55 angkat tangan ✋ wkwkwk,user A55 angkat tangan ✋ wkwkwk,user a55 angkat tangan wkwkwk,Netral,72.07,31,6
Yag make sumsang dari dulu kita sama🎉,Yag make sumsang dari dulu kita sama🎉,yag make sumsang dulu sama,Positif,53.93,37,7
Samsung memang yang terbaik,Samsung memang yang terbaik,samsung memang baik,Positif,98.94,27,4
Gak kerasa udah seri x7 aja😅 dulu mau beli Samsung A55 aja sampe sekarang belum kebli😂,Gak kerasa udah seri x7 aja😅 dulu mau beli Samsung A55 aja sampe sekarang belum kebli😂,tidak rasa seri x7 dulu mau beli samsung a55 sampe sekarang belum kebli,Negatif,97.26,86,16
"Malesin, 256 ga ada 512 😅😅😅
(Ada garansi layar tiba"" lightsaber kah 😂😂😂)","Malesin, 256 ga ada 512 😅😅😅 (Ada garansi layar tiba"" lightsaber kah 😂😂😂)",malesin 256 tidak 512 garansi layar tiba lightsaber kah,Negatif,99.75,72,13
Cocok untuk dokumentasi saja 😅,Cocok untuk dokumentasi saja 😅,cocok dokumentasi,Negatif,97.42,30,5
"Adakah user smsg a07 disini yg sehabis update, layarnya mlah no respon? Musti dimatiin dlu layarnya n baru bisa normal. N kejadiannya berulang2 mulu.","Adakah user smsg a07 disini yg sehabis update, layarnya mlah no respon? Musti dimatiin dlu layarnya n baru bisa normal. N kejadiannya berulang2 mulu.",ada user smsg a07 sini habis update layar mlah no respon musti dimatiin dlu layar baru normal jadi berulang2 mulu,Negatif,99.59,149,24
Tp kayaknya beneran di harga 8jtan bwang... Kemaren liad video sobat hape samsung a37 digerainya samsung dijual seharga 6.5jt lho 😂,Tp kayaknya beneran di harga 8jtan bwang... Kemaren liad video sobat hape samsung a37 digerainya samsung dijual seharga 6.5jt lho 😂,kayak beneran harga 8jtan bwang kemaren liad video sobat hape samsung a37 gera samsung jual harga 5jt lho,Positif,50.49,131,21
"Bang David, tolong dong kalo review HP Dolby atmos atau kwalitas merekam suaranya dibahas, karena kita kreator music butuh yg HP suara hasil rekamannya enak😊","Bang David, tolong dong kalo review HP Dolby atmos atau kwalitas merekam suaranya dibahas, karena kita kreator music butuh yg HP suara hasil rekamannya enak😊",david tolong dong review handphone dolby atmos kwalitas rekam suara bahas karena kreator music butuh handphone suara hasil rekam enak,Positif,83.17,157,25
skip 😅🤣 klo masih pke EXYNOS,skip 😅🤣 klo masih pke EXYNOS,skip klo masih pke exynos,Negatif,80.2,28,6
Bang rivew realme p4 power 5g,Bang rivew realme p4 power 5g,rivew realme p4 power 5g,Netral,97.54,29,6
"Samsung tu enak banget. Ui nya enak, os update panjang, nggak ada iklan. Buat orang yang nggak perlu” amat sama spek, samsung emang pilihan paling best sih","Samsung tu enak banget. Ui nya enak, os update panjang, nggak ada iklan. Buat orang yang nggak perlu” amat sama spek, samsung emang pilihan paling best sih",samsung tu enak banget ui enak os update panjang tidak iklan buat orang tidak perlu amat sama spesifikasi samsung emang pilih paling best sih,Positif,99.82,155,27
Gua yang masih pake a52s karena belum rusak😅,Gua yang masih pake a52s karena belum rusak😅,gua masih pake a52s karena belum rusak,Netral,46.22,44,8
Review itel city 200,Review itel city 200,review itel city 200,Netral,85.58,20,4
Bang rivew realme p4 power bang,Bang rivew realme p4 power bang,rivew realme p4 power,Netral,93.64,31,6
"Worth it sih kalau harganya 6 jutaan yg 256, design nya udah kekinian bezel tipis beda dengan generasi sebelumnya yg rivalnya udah pada bezel tipis malah masih tebel kyk hp jadul","Worth it sih kalau harganya 6 jutaan yg 256, design nya udah kekinian bezel tipis beda dengan generasi sebelumnya yg rivalnya udah pada bezel tipis malah masih tebel kyk hp jadul",bagus sih harga juta 256 design kini bezel tipis beda generasi belum rival pada bezel tipis malah masih tebel kyk handphone jadul,Positif,92.47,178,31
"Samsung A55 juga udah cukup kalo mau midrange samsung mah, mendingan beli samsung S25 kalo mau yang lebih canggih","Samsung A55 juga udah cukup kalo mau midrange samsung mah, mendingan beli samsung S25 kalo mau yang lebih canggih",samsung a55 juga cukup mau midrange samsung mah mending beli samsung s25 mau lebih canggih,Negatif,63.44,113,19
Telat lu gan,Telat lu gan,telat lu gan,Negatif,82.86,12,3
Overprice nyerempet flagship ga dapet charger ga dapet case ga dapet tg 😂,Overprice nyerempet flagship ga dapet charger ga dapet case ga dapet tg 😂,overprice nyerempet flagship tidak dapet charger tidak dapet case tidak dapet tg,Negatif,99.27,73,13
samsung seri nya ngacak gak beraturan spek sama sama desain sama gak rubah 😅 AHAMPAS,samsung seri nya ngacak gak beraturan spek sama sama desain sama gak rubah 😅 AHAMPAS,samsung seri ngacak tidak atur spesifikasi sama sama desain sama tidak rubah ahampas,Negatif,99.76,84,15
"Nonton Samsung padahal masi pake A73, gaada lagi series A pakai snapdragon wkwkwk","Nonton Samsung padahal masi pake A73, gaada lagi series A pakai snapdragon wkwkwk",nonton samsung padahal mas pake a73 gaada lagi series pakai snapdragon wkwkwk,Negatif,92.36,81,13
Sekarang warganet udah pada pinter. Mending hp china ato hp samsung flagship bekas daripada beli baru a57 😂,Sekarang warganet udah pada pinter. Mending hp china ato hp samsung flagship bekas daripada beli baru a57 😂,sekarang warganet pada pinter mending handphone china ato handphone samsung flagship bekas daripada beli baru a57,Negatif,97.68,107,18
Harganya badut 🤡😂,Harganya badut 🤡😂,harga badut,Negatif,48.36,17,3
"Sebagai user A55, A55 ini paling waras menurut gw kalopun mau upgrade mending ke FE sekalian daripada ini","Sebagai user A55, A55 ini paling waras menurut gw kalopun mau upgrade mending ke FE sekalian daripada ini",bagai user a55 a55 paling waras turut gw kalo mau upgrade mending fe sekali daripada,Negatif,65.51,105,18
Honda : tryata di dunia gadget...kyknya kita saudara...😂😂,Honda : tryata di dunia gadget...kyknya kita saudara...😂😂,honda tryata dunia gadget kyknya saudara,Positif,54.07,57,8
Dapat pesanan family...Kemarin beli Samsung A56 /256 disale @comers online ..lumayan 5jt an kecil... Dari pada beli A57 udah kayak rudal naik tinggi hrg nyaa😅😅..tapi hati masih di POCO 😊😊😊,Dapat pesanan family...Kemarin beli Samsung A56 /256 disale @comers online ..lumayan 5jt an kecil... Dari pada beli A57 udah kayak rudal naik tinggi hrg nyaa😅😅..tapi hati masih di POCO 😊😊😊,dapat pesan family kemarin beli samsung a56 256 sale comers online lumayan 5jt an kecil pada beli a57 kayak rudal naik tinggi hrg nyaa hati masih poco,Positif,57.02,188,30
"Bismillah, saya nonton video bang david dari a57.. ganti dari a52s.. yang mana a52s saya dari casing backdrop sudah lepas, tombol volume juga sudah lepas kalau tdk di support casing, dan camera protector wide lens nya juga sudah lepas jd kamera 0,5 jika dipakai jadi berembun ada efek blur nya, dan dengan sistem ui yang sudah tidak bisa update..
Menurut saya dibalik semua kontra dari upgrade a57 ini, saya pribadi gak masalah karena saya juga sudah nyaman dengan ui samsung dan buat mobilitas sehari hari saya merasa cukup..
Dan rencana awal saya mau ganti a56 karena bentuk kamera nya baru dan mulai berbeda, tapi budget belum terkumpul, lalu saya tunggu a57 dgn harapan kamera nya masih sama dan harga yg gak jauh beda dan alhamdulillah sudah kebeli dengan harga yg tidak jauh pada saat saya beli a52s dulu di 6,5jt 8/256 dan a57 kemarin 6,7jt 12/256.. dan kalau mau ganti lagi ke series fe yang kata orang2 gak beda jauh harganya dan bisa nabung lagi, buat saya kayanya tidak perlu.. karena buat saya sudah cukup dan uangnya bisa saya pakai untuk budget ke yang lain.. jd buat teman2, sesuaikan kebutuhan kita, semoga selalu Allah mudahkan rezekinya yaa 🙏🏻","Bismillah, saya nonton video bang david dari a57.. ganti dari a52s.. yang mana a52s saya dari casing backdrop sudah lepas, tombol volume juga sudah lepas kalau tdk di support casing, dan camera protector wide lens nya juga sudah lepas jd kamera 0,5 jika dipakai jadi berembun ada efek blur nya, dan dengan sistem ui yang sudah tidak bisa update.. Menurut saya dibalik semua kontra dari upgrade a57 ini, saya pribadi gak masalah karena saya juga sudah nyaman dengan ui samsung dan buat mobilitas sehari hari saya merasa cukup.. Dan rencana awal saya mau ganti a56 karena bentuk kamera nya baru dan mulai berbeda, tapi budget belum terkumpul, lalu saya tunggu a57 dgn harapan kamera nya masih sama dan harga yg gak jauh beda dan alhamdulillah sudah kebeli dengan harga yg tidak jauh pada saat saya beli a52s dulu di 6,5jt 8/256 dan a57 kemarin 6,7jt 12/256.. dan kalau mau ganti lagi ke series fe yang kata orang2 gak beda jauh harganya dan bisa nabung lagi, buat saya kayanya tidak perlu.. karena buat saya sudah cukup dan uangnya bisa saya pakai untuk budget ke yang lain.. jd buat teman2, sesuaikan kebutuhan kita, semoga selalu Allah mudahkan rezekinya yaa 🙏🏻",bismillah nonton video david a57 ganti a52s mana a52s casing backdrop lepas tombol volume juga lepas tdk support casing camera protector wide lens juga lepas jd kamera jika pakai jadi embun efek blur sistem ui tidak update turut balik semua kontra upgrade a57 pribadi tidak masalah karena juga nyaman ui samsung buat mobilitas hari hari rasa cukup rencana awal mau ganti a56 karena bentuk kamera baru mulai beda budget belum kumpul lalu tunggu a57 dgn harap kamera masih sama harga tidak jauh beda alhamdulillah kebel harga tidak jauh pada saat beli a52s dulu 5jt 256 a57 kemarin 7jt 12 256 mau ganti lagi series fe kata orang2 tidak beda jauh harga nabung lagi buat kaya tidak perlu karena buat cukup uang pakai budget lain jd buat teman2 sesuai butuh moga selalu allah mudah rezeki yaa,Positif,95.19,1161,198
